x_m,y_m
2.6600,-0.8500
2.6600,-0.8000
2.6600,-0.7500
2.6600,-0.7000
2.6600,-0.6500
2.6600,-0.6000
2.6600,-0.5500
2.6600,-0.5000
2.6600,-0.4500
2.6600,-0.4000
2.6600,-0.3500
2.6600,-0.3000
2.6600,-0.2500
2.6600,-0.2000
2.6600,-0.1500
2.6100,-0.1000
2.5600,-0.0500
2.5600,0.0000
2.5600,0.0500
2.5100,0.1000
2.4600,0.1500
2.4600,0.2000
2.4100,0.2500
2.3600,0.3000
2.3100,0.3500
2.3100,0.4000
2.2600,0.4500
2.2100,0.5000
2.1600,0.5500
2.1100,0.6000
2.0600,0.6000
2.0100,0.6500
1.9600,0.7000
1.9100,0.7500
1.8600,0.8000
1.8100,0.8000
1.7600,0.8500
1.7100,0.8500
1.6600,0.8500
1.6100,0.8500
1.5600,0.9000
1.5100,0.9000
1.4600,0.9000
1.4100,0.9000
1.3600,0.9000
1.3100,0.9000
1.2600,0.9000
1.2100,0.9500
1.1600,0.9500
1.1100,0.9500
1.0600,0.9500
1.0100,0.9500
0.9600,0.9000
0.9100,0.9000
0.8600,0.9000
0.8100,0.8500
0.7600,0.8500
0.7100,0.8500
0.6600,0.8500
0.6100,0.8500
0.5600,0.8000
0.5100,0.8000
0.4600,0.8000
0.4100,0.7500
0.3600,0.7500
0.3100,0.7500
0.2600,0.7000
0.2100,0.6500
0.1600,0.6000
0.1100,0.5500
0.0600,0.5000
0.0100,0.4500
-0.0400,0.4000
-0.0900,0.3500
-0.1400,0.3000
-0.1400,0.2500
-0.1900,0.2000
-0.2400,0.1500
-0.2400,0.1000
-0.2900,0.0500
-0.3400,0.0000
-0.3400,-0.0503
-0.3900,-0.1001
-0.4400,-0.1508
-0.4400,-0.2003
-0.4900,-0.2507
-0.4900,-0.3005
-0.5400,-0.3500
-0.5400,-0.4006
-0.5400,-0.4507
-0.5900,-0.5000
-0.5900,-0.5500
-0.5900,-0.6000
-0.5900,-0.6500
-0.6400,-0.7000
-0.6400,-0.7500
-0.6400,-0.8000
-0.6900,-0.8500
-0.6900,-0.9000
-0.7400,-0.9500
-0.7400,-1.0000
-0.7400,-1.0500
-0.7900,-1.1000
-0.7900,-1.1500
-0.7900,-1.2000
-0.7900,-1.2500
-0.7900,-1.3000
-0.8400,-1.3500
-0.8400,-1.4000
-0.8400,-1.4500
-0.8400,-1.5000
-0.8400,-1.5500
-0.8900,-1.6000
-0.8900,-1.6500
-0.8900,-1.7000
-0.8900,-1.7500
-0.9400,-1.8000
-0.9400,-1.8500
-0.9900,-1.9000
-0.9900,-1.9500
-0.9900,-2.0000
-0.9900,-2.0500
-0.9900,-2.1000
-0.9900,-2.1500
-1.0400,-2.2000
-1.0400,-2.2500
-1.0400,-2.3000
-1.0400,-2.3500
-1.0400,-2.4000
-1.0400,-2.4500
-1.0400,-2.5000
-1.0400,-2.5500
-1.0400,-2.6000
-1.0400,-2.6500
-1.0400,-2.7000
-1.0400,-2.7500
-1.0400,-2.8000
-1.0400,-2.8500
-1.0400,-2.9000
-1.0400,-2.9500
-1.0400,-3.0000
-1.0400,-3.0500
-1.0400,-3.1000
-1.0400,-3.1500
-1.0400,-3.2000
-1.0400,-3.2500
-1.0400,-3.3000
-1.0400,-3.3500
-1.0400,-3.4000
-1.0400,-3.4500
-1.0400,-3.5000
-1.0400,-3.5500
-1.0400,-3.6000
-1.0400,-3.6500
-1.0400,-3.7000
-1.0400,-3.7500
-1.0400,-3.8000
-1.0400,-3.8500
-1.0400,-3.9000
-1.0400,-3.9500
-1.0400,-4.0000
-1.0400,-4.0500
-1.0400,-4.1000
-1.0900,-4.1500
-1.0900,-4.2000
-1.0900,-4.2500
-1.0900,-4.3000
-1.0900,-4.3500
-1.0900,-4.4000
-1.0900,-4.4500
-1.0900,-4.5000
-1.0900,-4.5500
-1.0900,-4.6000
-1.0900,-4.6500
-1.0900,-4.7000
-1.1400,-4.7500
-1.1400,-4.8000
-1.1400,-4.8500
-1.1400,-4.9000
-1.1400,-4.9500
-1.1400,-5.0000
-1.1400,-5.0500
-1.1400,-5.1000
-1.1400,-5.1500
-1.1400,-5.2000
-1.1900,-5.2500
-1.1900,-5.3000
